iter	RMSE
426	0.3607708318
427	0.3606617555
428	0.3605679216
429	0.3603083036
430	0.3601910358
431	0.3600307425
432	0.3599064214
433	0.3598074732
434	0.359691393
435	0.3595441559
436	0.3594368529
437	0.3593288191
438	0.359250528
439	0.3591072359
440	0.3589861211
441	0.358889211
442	0.358789187
443	0.358504564
444	0.358254511
445	0.3581221723
446	0.3579975447
447	0.3579169419
448	0.3578272541
449	0.3577439178
450	0.3576235509
451	0.3575146974
452	0.3573909221
453	0.3572947497
454	0.3572331196
455	0.3570765219
456	0.356991955
457	0.3568587693
458	0.3567633322
459	0.3566988391
460	0.3565446348
461	0.3562407953
462	0.3561557728
463	0.3560819801
464	0.3560135407
465	0.3559197075
466	0.355838817
467	0.3557761909
468	0.3557062555
469	0.355627111
470	0.3555214684
471	0.3554542003
472	0.3553822856
473	0.355145925
474	0.35490899
475	0.3548386663
476	0.354754793
477	0.3545968566
478	0.3545084548
479	0.3544394255
480	0.354298546
481	0.3541095528
482	0.3540415502
483	0.3538703868
484	0.3536458233
485	0.3535427387
486	0.3534776843
487	0.3533917224
488	0.3532008728
489	0.3529817639
490	0.3528964403
491	0.3527963807
492	0.3527326768
493	0.3526580562
494	0.3525212477
495	0.3524520574
496	0.3523687722
497	0.3522804551
498	0.3521594785
499	0.3520868068
500	0.3518991766
501	0.3518430288
502	0.3517085566
503	0.3516428326
504	0.3515056832
505	0.3513666767
506	0.3513143217
507	0.3512396598
508	0.351144063
509	0.3510593879
510	0.3509867357
511	0.3508049336
512	0.3507057124
513	0.350608935
514	0.3505192859
515	0.3504449808
516	0.3503836984
517	0.3503272588
518	0.3502480448
519	0.3501732534
520	0.3500849375
521	0.3499651881
522	0.3498757354
523	0.3497071951
524	0.3495249736
525	0.3493795391
526	0.3492259776
527	0.3491018554
528	0.349049925
529	0.3490023403
530	0.3488779584
531	0.3487915732
532	0.3487544755
533	0.3486923834
534	0.3486442953
535	0.348528047
536	0.3484603687
537	0.34830378
538	0.3482249678
539	0.3481739228
540	0.348131032
541	0.3480731254
542	0.3479826964
543	0.3479046687
544	0.347808255
545	0.3477715238
546	0.3477110911
547	0.347578882
548	0.3475283302
549	0.3474024757
550	0.347326975
551	0.347230182
552	0.3470778663
553	0.3470448819
554	0.3469658342
555	0.3468942834
556	0.3468368582
557	0.346768267
558	0.3467060368
559	0.346612715
560	0.3465224936
561	0.3463475018
562	0.346265914
563	0.3461933216
564	0.3461235489
565	0.3459952922
566	0.345971163
567	0.3459165771
568	0.3457942599
569	0.3457217581
570	0.3456834385
571	0.3455938016
572	0.3455419893
573	0.3454634653
574	0.3454238341
575	0.3453219959
576	0.3451895192
577	0.3451368134
578	0.3450819152
579	0.3450258317
580	0.3449583336
581	0.3447977551
582	0.3447579265
583	0.3446840774
584	0.3446392208
585	0.3445091
586	0.3444358374
587	0.3443954303
588	0.3443150619
589	0.3442501721
590	0.3441877326
591	0.3441276726
592	0.3440263148
593	0.34398752
594	0.3439487401
595	0.3438790886
596	0.3437067349
597	0.3435758988
598	0.3434810405
599	0.3434490204
