iter	Passed	Remaining
414	3382	6398
415	3391	6391
416	3399	6383
417	3406	6373
418	3415	6366
419	3425	6361
420	3435	6356
421	3444	6349
422	3452	6340
423	3461	6335
424	3470	6328
425	3479	6321
426	3489	6316
427	3497	6308
428	3507	6302
429	3514	6292
430	3521	6283
431	3529	6274
432	3538	6267
433	3545	6257
434	3553	6248
435	3561	6240
436	3570	6233
437	3577	6224
438	3585	6215
439	3592	6204
440	3599	6195
441	3606	6185
442	3615	6178
443	3622	6168
444	3631	6161
445	3639	6153
446	3647	6144
447	3655	6136
448	3663	6128
449	3671	6118
450	3677	6107
451	3686	6100
452	3694	6091
453	3702	6084
454	3710	6075
455	3718	6067
456	3727	6059
457	3737	6054
458	3744	6045
459	3752	6037
460	3760	6028
461	3768	6019
462	3775	6009
463	3783	6001
464	3791	5992
465	3798	5982
466	3806	5974
467	3814	5966
468	3822	5957
469	3830	5949
470	3837	5939
471	3845	5930
472	3853	5922
473	3861	5914
474	3868	5904
475	3876	5896
476	3883	5886
477	3892	5879
478	3900	5870
479	3908	5863
480	3915	5853
481	3923	5843
482	3931	5835
483	3939	5827
484	3947	5818
485	3955	5811
486	3963	5803
487	3972	5795
488	3982	5789
489	3990	5782
490	3999	5774
491	4008	5768
492	4015	5758
493	4023	5750
494	4031	5741
495	4041	5735
496	4049	5728
497	4059	5722
498	4067	5714
499	4076	5707
500	4085	5700
501	4094	5693
502	4101	5683
503	4110	5675
504	4117	5665
505	4124	5657
506	4132	5648
507	4140	5640
508	4149	5632
509	4157	5625
510	4166	5617
511	4175	5611
512	4183	5602
513	4191	5593
514	4199	5585
515	4207	5577
516	4215	5568
517	4223	5560
518	4232	5553
519	4239	5543
520	4247	5535
521	4256	5529
522	4264	5520
523	4274	5514
524	4283	5507
525	4293	5501
526	4301	5493
527	4310	5485
528	4318	5478
529	4326	5469
530	4335	5462
531	4343	5454
532	4352	5446
533	4359	5437
534	4368	5429
535	4375	5420
536	4383	5412
537	4391	5403
538	4399	5395
539	4406	5386
